sigma,role,decision,count,first_index
INJ0001,X,ALLOW_RESTRICTED,0,-1
INJ0002,X,ALLOW_RESTRICTED,0,-1
INJ0003,X,ALLOW_RESTRICTED,0,-1
INJ0004,X,ALLOW_RESTRICTED,0,-1
INJ0005,X,ALLOW_RESTRICTED,0,-1
INJ0006,X,ALLOW_RESTRICTED,0,-1
INJ0007,X,ALLOW_RESTRICTED,0,-1
INJ0008,X,ALLOW_RESTRICTED,0,-1
INJ0009,X,ALLOW_RESTRICTED,0,-1
INJ0010,X,ALLOW_RESTRICTED,0,-1
INJ0011,X,ALLOW_RESTRICTED,0,-1
INJ0012,X,ALLOW_RESTRICTED,0,-1
INJ0013,X,ALLOW_RESTRICTED,0,-1
INJ0014,X,ALLOW_RESTRICTED,0,-1
INJ0015,X,ALLOW_RESTRICTED,0,-1
INJ0016,X,ALLOW_RESTRICTED,0,-1
INJ0017,X,ALLOW_RESTRICTED,0,-1
INJ0018,X,ALLOW_RESTRICTED,0,-1
INJ0019,X,ALLOW_RESTRICTED,0,-1
INJ0020,X,ALLOW_RESTRICTED,0,-1
INJ0021,X,ALLOW_RESTRICTED,0,-1
INJ0022,X,ALLOW_RESTRICTED,0,-1
INJ0023,X,ALLOW_RESTRICTED,0,-1
INJ0024,X,ALLOW_RESTRICTED,0,-1
INJ0025,X,ALLOW_RESTRICTED,0,-1
