x,y,x_join_y,x_meet_y
DENY,DENY,DENY,DENY
DENY,ABSTAIN,ABSTAIN,DENY
DENY,ALLOW_RESTRICTED,ALLOW_RESTRICTED,DENY
DENY,ALLOW,ALLOW,DENY
ABSTAIN,DENY,ABSTAIN,DENY
ABSTAIN,ABSTAIN,ABSTAIN,ABSTAIN
ABSTAIN,ALLOW_RESTRICTED,ALLOW_RESTRICTED,ABSTAIN
ABSTAIN,ALLOW,ALLOW,ABSTAIN
ALLOW_RESTRICTED,DENY,ALLOW_RESTRICTED,DENY
ALLOW_RESTRICTED,ABSTAIN,ALLOW_RESTRICTED,ABSTAIN
ALLOW_RESTRICTED,ALLOW_RESTRICTED,ALLOW_RESTRICTED,ALLOW_RESTRICTED
ALLOW_RESTRICTED,ALLOW,ALLOW,ALLOW_RESTRICTED
ALLOW,DENY,ALLOW,DENY
ALLOW,ABSTAIN,ALLOW,ABSTAIN
ALLOW,ALLOW_RESTRICTED,ALLOW,ALLOW_RESTRICTED
ALLOW,ALLOW,ALLOW,ALLOW
