source,sigma,u_sigma
S1,U:C:STABLE,C:C:STABLE
S1,U:D:DRIFT,D:D:DRIFT
S1,U:I:IRREV,I:I:IRREV
S1,U:M:META,M:M:META
S1,U:N:DENY,N:N:DENY
S1,U:R:RECOVER,R:R:RECOVER
S1,U:T:THRESH,T:T:THRESH
S1,U:X:CROSS,X:X:CROSS
S2,INJ0001,X:INJ0001
S2,INJ0002,X:INJ0002
S2,INJ0003,X:INJ0003
S2,INJ0004,X:INJ0004
S2,INJ0005,X:INJ0005
S2,INJ0006,X:INJ0006
S2,INJ0007,X:INJ0007
S2,INJ0008,X:INJ0008
S2,INJ0009,X:INJ0009
S2,INJ0010,X:INJ0010
S2,INJ0011,X:INJ0011
S2,INJ0012,X:INJ0012
S2,INJ0013,X:INJ0013
S2,INJ0014,X:INJ0014
S2,INJ0015,X:INJ0015
S2,INJ0016,X:INJ0016
S2,INJ0017,X:INJ0017
S2,INJ0018,X:INJ0018
S2,INJ0019,X:INJ0019
S2,INJ0020,X:INJ0020
S2,INJ0021,X:INJ0021
S2,INJ0022,X:INJ0022
S2,INJ0023,X:INJ0023
S2,INJ0024,X:INJ0024
S2,INJ0025,X:INJ0025
S2,INJ0026,X:INJ0026
S2,INJ0027,X:INJ0027
S2,INJ0028,X:INJ0028
S2,INJ0029,X:INJ0029
S2,INJ0030,X:INJ0030
S2,INJ0031,X:INJ0031
S2,INJ0032,X:INJ0032
S2,INJ0033,X:INJ0033
S2,INJ0034,X:INJ0034
S2,INJ0035,X:INJ0035
S2,INJ0036,X:INJ0036
S2,INJ0037,X:INJ0037
S2,INJ0038,X:INJ0038
S2,INJ0039,X:INJ0039
S2,INJ0040,X:INJ0040
S2,INJ0041,X:INJ0041
S2,INJ0042,X:INJ0042
S2,INJ0043,X:INJ0043
S2,INJ0044,X:INJ0044
S2,INJ0045,X:INJ0045
S2,INJ0046,X:INJ0046
S2,INJ0047,X:INJ0047
S2,INJ0048,X:INJ0048
S2,INJ0049,X:INJ0049
S2,INJ0050,X:INJ0050
S2,U:C:STABLE,C:C:STABLE
S2,U:D:DRIFT,D:D:DRIFT
S2,U:I:IRREV,I:I:IRREV
S2,U:M:META,M:M:META
S2,U:N:DENY,N:N:DENY
S2,U:R:RECOVER,R:R:RECOVER
S2,U:T:THRESH,T:T:THRESH
S2,U:X:CROSS,X:X:CROSS
