source,sigma,u_sigma
S1,U:C:STABLE,C:C:STABLE
S1,U:D:DRIFT,D:D:DRIFT
S1,U:I:IRREV,I:I:IRREV
S1,U:M:META,M:M:META
S1,U:N:DENY,N:N:DENY
S1,U:R:RECOVER,R:R:RECOVER
S1,U:T:THRESH,T:T:THRESH
S1,U:X:CROSS,X:X:CROSS
S2,ABSTAIN,A:ABSTAIN
S2,ALIGNED,D:ALIGNED
S2,BREAKDOWN,D:BREAKDOWN
S2,DRIFTING_DOWN,D:DRIFTING_DOWN
S2,DRIFTING_UP,D:DRIFTING_UP
S2,IRREVERSIBLE,I:IRREVERSIBLE
S2,METASTABLE,M:METASTABLE
S2,RESONANT,D:RESONANT
S2,STABLE_OSCILLATION,C:STABLE_OSCILLATION
S3,C:STABLE,C:STABLE
S3,D:DRIFT_UP,D:DRIFT_UP
S3,D:UP,D:UP
S3,M:TURN,D:TURN
S3,X:CROSS,X:CROSS
